Wins,QB:Comp%,QB:Pass Yds,QB:Pass TD,QB:Int,QB:First Down,QB:Adj Yds/att,Pass Yds/comp,QB:Pass Yds/g,QB:Sacked,QB:Sacked/g,GWD,RB:Rush Yds,RB:Rush TD,RB:First Down,RB:Yds/rush,RB:Fumbles,WR1:Catch%,WR1:Rec Yds,WR1:Rec TD,WR1:First Downs,WR1:Yds/rec,WR1:Yds/tgt,WR1:Fumbles,WR2:Catch%,WR2:Rec Yds,WR2:Rec TD,WR2:First Downs,WR2:Yds/rec,WR2:Yds/tgt,WR2:Fumbles,WR3:Catch%,WR3:Rec Yds,WR3:Rec TD,WR3:First Downs,WR3:Yds/rec,WR3:Yds/tgt,WR3:Fumbles,TE:Catch%,TE:Rec Yds,TE:Rec TD,TE:First Downs,TE:Yds/rec,TE:Yds/tgt,TE:Fumbles,OL:Sacked,OL:Sacked/g,OL:Yds/rush,DL:Blitzes,DL:Blitz%,DL:Hurries,DL:Hurry%,DL:Knockdowns,DL:Knockdown%,DL:Sacks,DL:Pressures,DL:Pressure%,LB:Total Yds,LB:Points,LB:Yds/play,LB:FF,LB:Pass Yds/att,LB:Rush Yds,LB:Rush TD,LB:Yds/rush,LB:Penalties,LB:Penalty Yds,DB:Pass Comp,DB:Pass Yds,DB:Pass TD,DB:Int,DB:Pass Net Yds/att,DB:Pass FD,DB:Turnovers,DB:Penalties,DB:Penalty Yards,DB:Turnover%,DB:Total Yds,DB:Points
3,61.0,3118,17,15,135,5.8,10.7,207.9,31,6.1,3,939,4,54,4.3,4,61.3,699,3,29,12.3,7.5,0,64.9,548,2,24,11.4,7.4,0,56.1,481,2,21,13.0,7.3,0,68.5,495,5,23,13.4,9.2,1,31,6.1,4.3,95,16.0,38,6.4,42.0,8.0,39,119,20.1,6452,420,5.7,11,6.3,2894,25,5.1,95,773,336,3558,15,16,6.3,196,27,95,773,11.9,6452,420
4,67.0,3057,14,13,156,6.0,9.9,254.8,38,7.6,4,861,4,39,4.5,3,70.2,925,4,51,9.3,6.6,2,69.2,623,3,32,9.9,6.8,1,52.6,593,2,28,14.5,7.6,1,62.5,312,3,16,12.5,7.8,1,38,7.6,4.5,100,16.4,53,8.7,37.0,6.9,44,134,22.0,5678,427,5.2,11,6.1,2109,20,4.1,89,725,365,3569,25,10,6.1,184,21,89,725,10.2,5678,427
9,66.3,4113,25,8,206,7.3,10.6,241.9,27,4.4,2,1125,5,52,5.1,5,63.2,1108,8,55,13.2,8.3,1,67.8,823,5,44,10.0,6.8,0,56.8,529,3,29,11.5,6.5,0,74.5,766,4,33,10.5,7.8,0,27,4.4,5.1,155,23.1,56,8.4,77.0,12.8,35,168,25.1,6006,350,5.4,13,6.4,1951,14,4.2,90,683,385,4055,25,14,6.4,211,27,90,683,14.4,6006,350
14,67.1,5250,41,12,272,8.5,12.1,308.8,26,3.9,4,830,5,37,4.9,4,77.2,933,3,47,12.0,9.2,3,51.9,687,2,32,16.4,8.5,0,44.1,315,2,12,21.0,9.3,0,72.4,1338,12,78,12.2,8.8,1,26,3.9,4.9,173,24.2,59,8.3,64.0,10.3,55,178,24.9,5579,369,5.1,9,5.6,1823,10,4.4,98,734,408,3756,33,11,5.6,207,20,98,734,10.3,5579,369
6,60.8,3522,24,14,161,6.7,11.5,234.8,27,5.1,3,1653,12,93,4.9,3,55.6,1516,14,65,15.2,8.4,1,60.6,690,4,34,12.1,7.3,0,72.0,330,2,18,9.2,6.6,3,61.1,420,2,24,12.7,7.8,1,27,5.1,4.9,168,26.2,36,5.6,61.0,10.3,27,124,19.3,6216,418,5.8,7,6.7,2087,20,4.5,93,758,399,4129,25,6,6.7,206,13,93,758,7.3,6216,418
10,68.2,4739,25,10,228,6.9,9.9,278.8,38,5.2,5,915,13,46,4.5,5,67.7,895,4,39,14.2,9.6,0,67.3,769,3,39,10.7,7.2,1,74.2,752,4,39,11.4,8.4,1,66.7,555,4,29,9.6,6.4,0,38,5.2,4.5,177,31.1,35,6.1,38.0,7.5,40,113,19.8,5884,384,5.9,10,6.2,2478,17,5.4,80,762,310,3406,24,14,6.2,175,24,80,762,11.2,5884,384
3,68.0,2087,10,8,105,6.4,10.1,231.9,29,8.7,0,786,7,39,4.2,2,76.5,812,6,42,10.8,8.3,2,63.9,376,0,16,9.6,6.2,0,54.5,369,3,20,15.4,8.4,0,66.7,620,3,32,8.6,5.7,0,29,8.7,4.2,166,26.8,35,5.7,38.0,6.8,38,111,17.9,5798,384,5.5,6,6.5,1956,12,4.3,82,691,375,3842,23,16,6.5,203,22,82,691,12.1,5798,384
8,64.8,3548,25,8,162,9.2,13.7,272.9,21,5.0,2,891,3,44,4.9,1,70.0,1710,7,77,14.4,10.1,1,64.1,1356,8,60,18.1,11.6,1,58.8,417,2,18,13.9,8.2,0,61.5,362,5,19,11.3,7.0,0,21,5.0,4.9,233,33.3,58,8.3,54.0,8.7,40,152,21.7,5743,399,5.3,6,6.0,1751,15,4.1,84,799,416,3992,27,8,6.0,200,14,84,799,7.6,5743,399
13,65.9,4547,29,14,230,7.0,10.7,267.5,46,6.7,8,1173,8,50,4.4,4,69.6,1809,8,80,14.1,9.8,0,65.4,716,6,45,10.2,6.7,0,66.7,650,5,32,10.8,7.2,1,69.4,182,2,9,7.3,5.1,1,46,6.7,4.4,131,18.9,49,7.1,48.0,7.8,38,135,19.5,6608,427,5.9,10,6.9,2093,18,4.5,111,926,408,4515,23,15,6.9,224,25,111,926,12.0,6608,427
6,65.2,2997,14,11,127,6.3,10.4,214.1,34,7.1,0,1040,5,49,5.0,4,69.8,804,6,38,12.0,8.4,2,66.0,539,3,25,17.4,11.5,0,72.9,434,1,22,12.4,9.0,2,69.5,509,2,23,12.4,8.6,0,34,7.1,5.0,148,21.9,73,10.8,36.0,6.0,54,163,24.1,5474,347,5.0,11,5.7,1793,7,4.1,89,699,364,3681,28,19,5.7,194,30,89,699,14.2,5474,347
6,66.7,2871,18,9,135,7.5,11.4,205.1,25,6.2,1,897,2,40,4.0,4,60.5,1042,4,48,14.5,8.8,2,82.4,488,2,18,17.4,14.4,1,70.4,278,1,14,14.6,10.3,0,64.6,508,7,25,12.1,7.8,0,25,6.2,4.0,102,16.8,29,4.8,29.0,5.4,48,106,17.5,5352,345,5.0,7,5.4,2218,14,4.5,92,798,322,3134,17,7,5.4,159,14,92,798,7.1,5352,345
9,67.2,3205,15,5,156,6.9,10.1,200.3,44,8.5,5,1312,10,62,4.4,1,64.8,724,2,30,15.7,10.2,2,81.4,569,4,29,10.0,8.1,3,74.2,227,1,13,9.9,7.3,0,85.7,268,2,14,8.9,7.7,1,44,8.5,4.4,253,39.7,48,7.5,66.0,11.6,41,155,24.3,6089,371,5.6,13,6.0,2451,16,5.2,111,819,349,3638,21,6,6.0,200,19,111,819,8.8,6089,371
5,54.5,1688,6,7,73,6.2,12.8,187.6,23,8.7,2,463,4,20,5.8,1,56.5,1103,4,56,13.3,7.5,2,50.0,536,2,28,16.8,8.4,0,56.9,446,1,22,12.1,6.9,1,66.7,552,3,25,9.5,6.3,2,23,8.7,5.8,94,14.9,39,6.2,76.0,13.7,45,160,25.4,5288,316,4.8,4,5.4,2068,14,4.2,90,707,347,3220,15,12,5.4,166,16,90,707,8.3,5288,316
14,66.5,3701,22,6,165,8.4,12.1,246.7,38,7.6,2,1269,11,62,4.9,2,60.7,1496,11,59,17.0,10.3,2,69.9,1196,7,57,12.6,8.8,1,64.7,354,3,13,10.7,6.9,1,79.7,702,3,40,12.8,10.2,1,38,7.6,4.9,146,22.1,48,7.3,50.0,9.0,70,168,25.5,5125,344,4.8,10,4.9,2068,15,4.6,95,798,350,3057,22,17,4.9,186,27,95,798,15.1,5125,344
7,63.0,2404,7,9,123,5.5,9.8,184.9,27,6.5,4,1034,7,45,3.8,3,58.5,882,0,45,10.3,6.0,1,61.9,801,4,38,15.4,9.5,0,60.9,104,0,5,7.4,4.5,3,64.3,732,2,37,11.6,7.5,0,27,6.5,3.8,195,31.5,28,4.5,40.0,7.4,40,108,17.4,5617,346,5.5,3,6.5,1838,7,4.2,96,717,332,3779,29,20,6.5,196,23,96,717,13.0,5617,346
7,67.2,2437,16,4,114,8.4,11.8,221.5,18,5.5,1,279,2,15,6.2,0,68.4,1015,8,47,13.0,8.9,1,59.6,632,2,25,11.3,6.7,3,62.5,416,1,23,11.9,7.4,1,69.8,765,11,36,12.8,8.9,1,18,5.5,6.2,143,21.6,39,5.9,69.0,11.6,44,152,22.9,5110,277,5.0,10,5.9,1321,11,3.4,96,832,389,3789,20,20,5.9,188,30,96,832,15.3,5110,277
9,69.8,4282,30,11,206,7.7,10.7,251.9,46,7.4,3,1050,9,51,4.6,0,63.8,1048,6,47,11.6,7.4,2,71.8,1033,9,50,12.3,8.8,2,64.3,387,4,18,14.3,9.2,0,79.4,486,4,24,9.7,7.7,0,46,7.4,4.6,95,15.2,34,5.4,51.0,9.3,45,130,20.8,6149,401,5.5,11,6.1,2554,21,4.9,98,818,343,3595,23,14,6.1,188,25,98,818,12.2,6149,401
8,66.8,4694,25,9,237,6.5,9.6,276.1,22,2.9,5,668,3,39,3.5,0,60.6,1124,6,53,14.6,8.9,0,73.2,1023,3,53,9.8,7.2,2,72.9,426,5,31,8.4,6.1,1,64.6,391,2,19,9.3,6.0,0,22,2.9,3.5,182,28.3,38,5.9,58.0,10.2,45,141,21.9,5513,358,5.1,10,5.6,2052,12,4.5,97,863,364,3461,29,10,5.6,186,20,97,863,10.2,5513,358
6,65.2,2536,13,6,116,7.8,12.0,211.3,33,9.2,0,1538,13,65,4.4,6,58.2,527,2,31,9.9,5.8,1,61.1,444,1,19,13.5,8.2,0,50.0,397,3,18,15.9,7.9,0,69.6,450,3,22,14.1,9.8,0,33,9.2,4.4,133,18.1,57,7.7,60.0,8.9,39,156,21.2,5978,359,5.4,6,6.6,1307,9,3.4,115,836,439,4671,29,14,6.6,215,20,115,836,10.6,5978,359
5,62.2,1859,12,6,93,7.1,11.5,206.6,19,6.8,1,797,2,49,3.9,2,64.2,1191,5,56,15.5,9.9,1,69.6,656,4,36,10.3,7.1,1,57.4,523,7,26,14.9,8.6,0,63.9,323,1,15,8.3,5.3,0,19,6.8,3.9,133,22.4,25,4.2,69.0,13.4,43,137,23.1,5178,343,5.2,9,5.8,1926,10,4.4,85,707,308,3252,26,9,5.8,155,18,85,707,7.6,5178,343
