Wins,QB:Comp%,QB:Pass Yds,QB:Pass TD,QB:Int,QB:First Down,QB:Adj Yds/att,Pass Yds/comp,QB:Pass Yds/g,QB:Sacked,QB:Sacked/g,GWD,RB:Rush Yds,RB:Rush TD,RB:First Down,RB:Yds/rush,RB:Fumbles,WR1:Catch%,WR1:Rec Yds,WR1:Rec TD,WR1:First Downs,WR1:Yds/rec,WR1:Yds/tgt,WR1:Fumbles,WR2:Catch%,WR2:Rec Yds,WR2:Rec TD,WR2:First Downs,WR2:Yds/rec,WR2:Yds/tgt,WR2:Fumbles,WR3:Catch%,WR3:Rec Yds,WR3:Rec TD,WR3:First Downs,WR3:Yds/rec,WR3:Yds/tgt,WR3:Fumbles,TE:Catch%,TE:Rec Yds,TE:Rec TD,TE:First Downs,TE:Yds/rec,TE:Yds/tgt,TE:Fumbles,OL:Sacked,OL:Sacked/g,OL:Yds/rush,DL:Blitzes,DL:Blitz%,DL:Hurries,DL:Hurry%,DL:Knockdowns,DL:Knockdown%,DL:Sacks,DL:Pressures,DL:Pressure%,LB:Total Yds,LB:Points,LB:Yds/play,LB:FF,LB:Pass Yds/att,LB:Rush Yds,LB:Rush TD,LB:Yds/rush,LB:Penalties,LB:Penalty Yds,DB:Pass Comp,DB:Pass Yds,DB:Pass TD,DB:Int,DB:Pass Net Yds/att,DB:Pass FD,DB:Turnovers,DB:Penalties,DB:Penalty Yards,DB:Turnover%,DB:Total Yds,DB:Points
13,68.9,4115,37,4,213,8.8,11.2,257.2,30,5.3,2,803,5,50,4.3,2,72.8,1553,11,84,12.6,9.2,0,66.7,513,8,28,12.8,8.6,0,47.3,430,3,18,16.5,7.8,0,75.8,245,2,9,9.8,7.4,0,30,5.3,4.3,152,22.2,77,11.3,51.0,8.5,39,167,24.4,5579,371,5.4,8,5.8,1855,13,4.7,88,718,379,3724,31,18,5.8,194,26,88,718,14.0,5579,371
2,66.8,2664,16,10,118,6.4,10.1,204.9,31,7.3,0,427,3,30,3.5,1,67.2,1037,6,45,11.5,7.7,0,55.0,446,1,22,13.5,7.4,0,59.5,323,2,15,14.7,8.7,1,72.7,214,0,11,8.9,6.5,2,31,7.3,3.5,117,19.5,53,8.8,39.0,7.1,32,124,20.7,6535,452,5.9,8,7.1,2418,25,4.6,89,790,363,4117,27,17,7.1,218,25,89,790,12.2,6535,452
9,62.4,3563,27,7,165,7.3,11.1,209.6,32,5.8,0,1811,18,107,5.5,4,68.2,1082,6,54,12.3,8.4,1,55.1,384,3,16,10.1,5.6,1,62.2,331,3,15,14.4,8.9,0,53.3,316,4,14,13.2,7.0,1,32,5.8,5.5,134,20.2,37,5.6,50.0,8.4,33,120,18.1,5834,365,5.6,14,6.3,1854,10,4.4,109,978,390,3980,32,19,6.3,213,33,109,978,17.1,5834,365
3,59.6,3641,12,17,177,5.2,10.1,214.2,32,5.0,2,767,8,41,4.7,4,60.8,832,4,42,11.4,6.9,0,63.0,619,0,30,9.8,6.2,1,64.7,434,1,22,13.2,8.5,0,70.6,244,0,10,10.2,7.2,0,32,5.0,4.7,190,31.5,65,10.8,49.0,9.0,32,146,24.2,6002,457,5.6,2,6.7,2127,22,4.3,104,879,377,3875,24,7,6.7,198,9,104,879,5.2,6002,457
12,66.3,4839,37,13,260,7.6,11.1,284.6,28,4.1,3,558,6,40,3.9,0,69.8,1239,9,75,11.2,7.8,2,71.1,693,2,33,11.7,8.3,3,70.0,568,5,32,13.5,9.5,2,68.7,1125,9,63,12.2,8.4,1,28,4.1,3.9,226,33.5,88,13.0,59.0,9.7,31,178,26.4,6272,364,5.9,14,6.7,1999,15,4.8,116,911,401,4273,27,15,6.7,209,29,116,911,16.0,6272,364
10,68.4,4804,23,14,217,7.4,11.2,282.6,40,6.0,6,872,9,45,4.0,2,80.5,1038,9,51,10.1,8.1,5,57.6,571,3,26,16.8,9.7,1,67.1,546,1,29,11.6,7.8,1,59.1,665,2,31,12.1,7.2,0,40,6.0,4.0,83,12.3,62,9.2,68.0,11.2,35,165,24.4,5732,439,5.2,9,5.9,1943,18,4.2,99,1021,400,3789,29,6,5.9,202,15,99,1021,7.3,5732,439
9,65.9,5014,38,15,256,7.6,11.3,294.9,31,4.4,5,911,12,53,4.4,4,58.9,1146,9,51,15.1,8.9,0,67.5,1138,6,66,10.7,7.2,1,64.6,448,3,21,14.5,9.3,1,57.8,564,4,31,11.8,6.8,0,31,4.4,4.4,157,25.1,68,10.9,53.0,9.5,35,156,25.0,6122,459,5.6,10,6.3,2361,22,4.6,99,835,357,3761,27,11,6.3,199,21,99,835,11.2,6122,459
12,67.2,4886,41,17,233,8.2,12.1,287.4,30,4.8,4,845,4,49,4.1,1,75.9,1947,16,89,13.4,10.2,0,56.2,802,6,32,16.0,9.0,0,65.2,556,4,34,12.4,8.1,0,71.8,560,5,33,9.2,6.6,1,30,4.8,4.1,239,33.8,74,10.5,37.0,5.9,50,161,22.8,5863,372,5.2,6,6.1,1754,18,4.0,88,688,416,4109,17,19,6.1,214,25,88,688,13.3,5863,372
7,67.8,2653,16,10,137,6.5,10.1,204.1,20,4.9,2,612,3,25,3.5,2,74.3,1015,6,59,9.8,7.3,2,54.8,515,2,29,12.9,7.1,0,50.0,223,4,11,15.9,8.0,0,65.2,780,2,39,10.7,7.0,0,20,4.9,3.5,268,39.6,68,10.0,77.0,12.7,48,193,28.5,5738,373,5.3,12,5.9,1867,16,4.4,109,991,373,3871,23,14,5.9,199,26,109,991,13.0,5738,373
8,66.3,4221,33,7,192,8.1,11.3,263.8,28,4.8,4,1159,6,57,4.7,3,64.7,1616,10,75,15.0,9.7,1,70.5,726,10,37,10.8,7.6,1,61.0,655,7,26,13.1,8.0,0,70.1,593,3,26,9.7,6.8,1,28,4.8,4.7,186,26.1,91,12.7,45.0,7.2,51,187,26.2,6522,426,5.7,8,6.4,2222,15,4.7,93,786,401,4300,29,16,6.4,224,24,93,786,11.9,6522,426
10,67.6,3801,22,13,177,7.0,10.8,223.6,28,5.1,1,929,15,55,4.6,2,65.9,866,2,42,10.4,6.9,1,78.6,800,5,27,14.5,11.4,1,57.8,473,3,23,12.8,7.4,0,66.7,603,9,34,12.1,8.0,0,28,5.1,4.6,147,24.5,75,12.5,43.0,8.0,36,154,25.6,5284,303,5.1,7,5.5,2103,9,4.5,100,831,319,3181,21,23,5.5,176,30,100,831,16.9,5284,303
5,59.0,1170,14,3,56,8.2,12.3,167.1,11,6.4,1,898,4,42,3.7,0,54.8,698,6,32,15.2,8.3,0,61.0,570,3,23,15.8,9.7,2,64.0,377,3,18,11.8,7.5,1,62.8,263,2,13,9.7,6.1,1,11,6.4,3.7,148,22.0,56,8.3,64.0,10.8,46,166,24.7,5410,335,5.1,7,6.0,1589,12,3.7,89,761,369,3821,20,18,6.0,185,25,89,761,12.8,5410,335
4,64.3,2428,10,7,116,6.4,10.5,220.7,22,5.7,1,593,2,27,3.7,2,48.7,521,0,27,14.1,6.9,0,68.4,420,0,21,10.8,7.4,0,67.9,366,1,19,10.2,6.9,0,63.0,408,3,21,8.9,5.6,1,22,5.7,3.7,167,25.0,59,8.8,41.0,6.7,34,134,20.1,6032,416,5.3,7,6.0,2193,15,4.5,107,814,402,3839,27,15,6.0,216,22,107,814,12.0,6032,416
